track_id,start,end,closest,min_axis_km,min_penumbra_edge_km,moon_distance_at_closest_km,actual_eclipse_count,actual_eclipse_types
0,2000-01-01T00:00:00Z,2000-01-14T12:00:00Z,2000-01-06T18:30:00Z,11459.0,7798.5,404679.3,0,
1,2000-01-28T12:00:00Z,2000-02-12T18:00:00Z,2000-02-05T12:45:00Z,7806.5,4183.7,397712.8,1,Partial
2,2000-02-27T06:00:00Z,2000-03-13T06:00:00Z,2000-03-06T04:45:00Z,23721.5,20162.2,387461.7,0,
3,2000-03-28T06:00:00Z,2000-04-11T12:00:00Z,2000-04-04T18:00:00Z,31845.9,28356.5,376343.9,0,
4,2000-04-27T00:00:00Z,2000-05-10T18:00:00Z,2000-05-04T04:30:00Z,30904.3,27473.8,366652.0,0,
5,2000-05-26T12:00:00Z,2000-06-09T00:00:00Z,2000-06-02T12:45:00Z,22144.9,18751.9,360037.0,0,
6,2000-06-25T06:00:00Z,2000-07-08T12:00:00Z,2000-07-01T19:30:00Z,8179.6,4800.1,357377.5,1,Partial
7,2000-07-24T12:00:00Z,2000-08-07T00:00:00Z,2000-07-31T02:15:00Z,7761.7,4372.3,358931.9,1,Partial
8,2000-08-23T00:00:00Z,2000-09-05T12:00:00Z,2000-08-29T10:00:00Z,22159.8,18738.5,364539.1,0,
9,2000-09-21T06:00:00Z,2000-10-05T06:00:00Z,2000-09-27T19:30:00Z,31429.5,27956.4,373465.3,0,
10,2000-10-20T12:00:00Z,2000-11-04T06:00:00Z,2000-10-27T08:15:00Z,32481.3,28942.2,384428.4,0,
11,2000-11-18T18:00:00Z,2000-12-04T00:00:00Z,2000-11-25T23:45:00Z,23867.1,20261.4,395172.2,0,
12,2000-12-18T06:00:00Z,2001-01-02T18:00:00Z,2000-12-25T17:30:00Z,7254.9,3601.2,403212.7,1,Partial
13,2001-01-16T18:00:00Z,2001-02-01T12:00:00Z,2001-01-24T12:45:00Z,12214.8,8547.7,406539.7,0,
14,2001-02-15T06:00:00Z,2001-03-03T00:00:00Z,2001-02-23T07:45:00Z,27788.0,24145.1,404284.7,0,
15,2001-03-17T00:00:00Z,2001-04-01T06:00:00Z,2001-03-25T01:15:00Z,34430.7,30839.0,397110.8,0,
16,2001-04-15T18:00:00Z,2001-04-30T12:00:00Z,2001-04-23T15:45:00Z,30909.5,27379.3,386964.5,0,
17,2001-05-15T12:00:00Z,2001-05-29T18:00:00Z,2001-05-23T03:15:00Z,19372.7,15901.3,376141.8,0,
18,2001-06-14T06:00:00Z,2001-06-28T00:00:00Z,2001-06-21T12:00:00Z,3644.4,220.8,366699.0,1,Total
19,2001-07-14T00:00:00Z,2001-07-27T06:00:00Z,2001-07-20T19:30:00Z,12268.0,8875.8,360029.4,0,
20,2001-08-12T12:00:00Z,2001-08-25T18:00:00Z,2001-08-19T02:30:00Z,24780.3,21397.6,357174.6,0,
21,2001-09-11T00:00:00Z,2001-09-24T06:00:00Z,2001-09-17T10:15:00Z,31084.4,27685.4,358688.0,0,
22,2001-10-10T06:00:00Z,2001-10-24T00:00:00Z,2001-10-16T19:45:00Z,29334.6,25893.1,364598.1,0,
23,2001-11-08T18:00:00Z,2001-11-22T18:00:00Z,2001-11-15T07:00:00Z,19199.0,15696.5,374028.5,0,
24,2001-12-08T00:00:00Z,2001-12-22T18:00:00Z,2001-12-14T20:45:00Z,2637.9,-929.3,385328.6,1,Annular
25,2002-01-06T06:00:00Z,2002-01-21T12:00:00Z,2002-01-13T13:00:00Z,15895.0,12276.4,396137.6,0,
26,2002-02-04T18:00:00Z,2002-02-20T12:00:00Z,2002-02-12T07:15:00Z,30251.4,26606.7,403914.9,0,
27,2002-03-06T06:00:00Z,2002-03-22T00:00:00Z,2002-03-14T02:00:00Z,35420.0,31777.4,406705.5,0,
28,2002-04-04T18:00:00Z,2002-04-20T12:00:00Z,2002-04-12T19:45:00Z,29879.3,26263.5,403970.7,0,
29,2002-05-04T12:00:00Z,2002-05-19T18:00:00Z,2002-05-12T11:15:00Z,16074.0,12502.8,396658.3,0,
30,2002-06-03T06:00:00Z,2002-06-18T00:00:00Z,2002-06-10T23:45:00Z,1271.0,-2246.3,386669.8,1,Annular
31,2002-07-02T18:00:00Z,2002-07-17T00:00:00Z,2002-07-10T10:00:00Z,17256.1,13792.1,375982.4,0,
32,2002-08-01T12:00:00Z,2002-08-15T06:00:00Z,2002-08-08T19:00:00Z,28072.0,24650.6,366424.2,0,
33,2002-08-31T06:00:00Z,2002-09-13T18:00:00Z,2002-09-07T03:15:00Z,31432.8,28034.0,359668.7,0,
34,2002-09-29T18:00:00Z,2002-10-13T00:00:00Z,2002-10-06T11:45:00Z,26658.2,23257.0,356923.7,0,
35,2002-10-29T06:00:00Z,2002-11-11T18:00:00Z,2002-11-04T21:00:00Z,14663.0,11236.0,358831.5,0,
36,2002-11-27T18:00:00Z,2002-12-11T12:00:00Z,2002-12-04T07:30:00Z,1925.8,-1543.4,365225.9,1,Total
37,2002-12-27T06:00:00Z,2003-01-10T12:00:00Z,2003-01-02T20:00:00Z,18844.6,15326.4,375116.3,0,
38,2003-01-25T12:00:00Z,2003-02-09T06:00:00Z,2003-02-01T10:30:00Z,31030.5,27465.2,386579.1,0,
39,2003-02-23T18:00:00Z,2003-03-11T06:00:00Z,2003-03-03T02:45:00Z,34276.1,30673.0,397103.9,0,
40,2003-03-25T06:00:00Z,2003-04-09T18:00:00Z,2003-04-01T19:45:00Z,27177.9,23553.8,404248.0,0,
41,2003-04-23T18:00:00Z,2003-05-09T06:00:00Z,2003-05-01T12:30:00Z,11992.8,8370.2,406515.7,0,
42,2003-05-23T06:00:00Z,2003-06-07T18:00:00Z,2003-05-31T04:15:00Z,6364.9,2766.6,403651.6,1,Annular
43,2003-06-21T18:00:00Z,2003-07-07T00:00:00Z,2003-06-29T18:15:00Z,22341.1,18783.7,396496.6,0,
44,2003-07-21T12:00:00Z,2003-08-05T06:00:00Z,2003-07-29T06:30:00Z,31718.4,28207.4,386589.4,0,
45,2003-08-20T06:00:00Z,2003-09-03T12:00:00Z,2003-08-27T17:45:00Z,32426.0,28956.9,375751.9,0,
46,2003-09-19T00:00:00Z,2003-10-02T18:00:00Z,2003-09-26T03:30:00Z,24685.7,21245.8,366126.3,0,
47,2003-10-18T18:00:00Z,2003-11-01T00:00:00Z,2003-10-25T13:00:00Z,10654.5,7228.9,359372.4,0,
48,2003-11-17T06:00:00Z,2003-11-30T12:00:00Z,2003-11-23T22:45:00Z,6150.4,2724.5,356813.1,1,Total
49,2003-12-16T18:00:00Z,2003-12-30T06:00:00Z,2003-12-23T09:15:00Z,21374.4,17934.0,359093.6,0,
50,2004-01-15T06:00:00Z,2004-01-29T06:00:00Z,2004-01-21T20:45:00Z,30836.5,27367.3,365962.8,0,
51,2004-02-13T18:00:00Z,2004-02-28T00:00:00Z,2004-02-20T09:30:00Z,31570.0,28060.6,376151.7,0,
52,2004-03-14T00:00:00Z,2004-03-28T18:00:00Z,2004-03-20T23:15:00Z,22954.5,19402.1,387497.0,0,
53,2004-04-12T06:00:00Z,2004-04-27T12:00:00Z,2004-04-19T13:30:00Z,7231.2,3644.3,397550.5,1,Partial
54,2004-05-11T12:00:00Z,2004-05-27T06:00:00Z,2004-05-19T04:30:00Z,11035.3,7430.5,404353.0,0,
55,2004-06-10T00:00:00Z,2004-06-25T18:00:00Z,2004-06-17T20:00:00Z,26425.3,22821.5,406563.9,0,
56,2004-07-09T12:00:00Z,2004-07-25T00:00:00Z,2004-07-17T11:15:00Z,34448.5,30860.9,403742.4,0,
57,2004-08-08T00:00:00Z,2004-08-23T06:00:00Z,2004-08-16T01:45:00Z,32947.6,29386.3,396483.8,0,
58,2004-09-06T18:00:00Z,2004-09-21T12:00:00Z,2004-09-14T15:00:00Z,22620.8,19091.2,386299.3,0,
59,2004-10-06T12:00:00Z,2004-10-20T18:00:00Z,2004-10-14T03:00:00Z,6601.7,3106.2,375218.7,1,Partial
60,2004-11-05T06:00:00Z,2004-11-19T00:00:00Z,2004-11-12T14:15:00Z,10586.4,7124.4,365358.2,0,
61,2004-12-05T06:00:00Z,2004-12-18T12:00:00Z,2004-12-12T01:00:00Z,24276.0,20840.0,358682.4,0,
62,2005-01-03T18:00:00Z,2005-01-17T06:00:00Z,2005-01-10T12:00:00Z,30859.2,27433.7,356577.0,0,
63,2005-02-02T12:00:00Z,2005-02-16T00:00:00Z,2005-02-08T22:45:00Z,28637.0,25202.0,359543.6,0,
