id,type,maximum,trackId,xKm,yKm,axisDistanceKm,penumbraRadiusKm,centralSignedRadiusKm,moonDistanceKm
0,Partial,2000-02-05T12:49:19Z,1,-762.8,-7765.3,7802.7,3622.7,-138.5,397704.1
1,Partial,2000-07-01T19:32:30Z,6,777.4,-8141.1,8178.1,3379.5,103.4,357377.1
2,Partial,2000-07-31T02:13:07Z,7,-741.7,7725.3,7760.8,3389.4,93.6,358930.0
3,Partial,2000-12-25T17:34:54Z,12,714.9,7214.8,7250.1,3653.7,-169.4,403219.2
4,Total,2001-06-21T12:03:44Z,18,357.0,-3619.8,3637.3,3423.5,59.7,366690.8
5,Annular,2001-12-14T20:51:56Z,24,258.9,2595.4,2608.3,3567.3,-83.4,385347.2
6,Annular,2002-06-10T23:44:18Z,30,-125.7,1264.2,1270.4,3517.4,-33.7,386671.7
7,Total,2002-12-04T07:31:12Z,36,-190.6,-1914.9,1924.4,3469.2,14.3,365228.4
8,Annular,2003-05-31T04:08:15Z,42,-625.9,6323.5,6354.4,3598.3,-114.2,403660.0
9,Total,2003-11-23T22:49:22Z,48,-595.5,-6115.5,6144.4,3425.9,57.4,356813.0
10,Partial,2004-04-19T13:34:05Z,53,706.0,-7193.2,7227.8,3586.9,-102.9,397558.9
11,Partial,2004-10-14T02:59:14Z,59,642.5,6570.2,6601.5,3495.5,-11.9,375220.7
12,Hybrid,2005-04-08T20:35:46Z,65,218.4,-2203.8,2214.6,3497.1,-13.5,377088.4
13,Annular,2005-10-03T10:31:42Z,71,210.9,2099.2,2109.8,3587.6,-103.6,396028.4
14,Total,2006-03-29T10:11:20Z,77,-241.7,2440.2,2452.1,3423.9,59.3,360316.8
15,Annular,2006-09-22T11:40:12Z,83,-259.8,-2577.5,2590.6,3630.4,-146.2,406475.1
16,Partial,2007-03-19T02:31:51Z,89,-658.9,6812.1,6843.9,3419.0,64.2,358253.9
17,Partial,2007-09-11T12:31:25Z,95,-702.8,-7143.9,7178.4,3585.3,-101.3,398081.1
18,Annular,2008-02-07T03:55:02Z,100,599.1,-6073.5,6103.0,3554.0,-70.1,383317.8
19,Total,2008-08-01T10:21:06Z,106,514.2,5273.4,5298.4,3431.9,51.4,368032.7
20,Annular,2009-01-26T07:58:40Z,112,180.9,-1788.1,1797.2,3646.3,-162.0,402068.9
21,Total,2009-07-22T02:35:18Z,118,43.8,442.6,444.8,3381.8,101.2,357532.3
22,Annular,2010-01-15T07:06:33Z,124,-257.1,2538.9,2551.9,3664.0,-179.6,405392.3
23,Total,2010-07-11T19:33:31Z,130,-421.8,-4309.1,4329.7,3407.6,75.6,363353.9
24,Partial,2011-01-04T08:50:38Z,136,-665.7,6744.1,6776.9,3593.2,-109.1,390449.4
25,Partial,2011-06-01T21:16:05Z,141,751.7,7700.8,7737.4,3546.1,-62.3,392481.2
26,Partial,2011-07-01T08:38:15Z,142,-901.6,-9471.3,9514.1,3492.7,-9.1,381952.1
27,Partial,2011-11-25T06:20:20Z,147,649.2,-6691.9,6723.3,3446.9,36.4,361173.4
28,Annular,2012-05-20T23:52:45Z,153,308.1,3062.9,3078.4,3611.8,-127.6,405854.4
29,Total,2012-11-13T22:11:50Z,159,234.4,-2363.6,2375.2,3426.6,56.7,357614.1
30,Annular,2013-05-10T00:25:13Z,165,-172.2,-1710.5,1719.1,3594.0,-110.0,401059.6
31,Hybrid,2013-11-03T12:46:31Z,171,-205.8,2074.7,2084.9,3483.1,0.4,370505.4
32,Annular,2014-04-29T06:03:29Z,177,-623.1,-6349.1,6379.6,3510.1,-26.5,382000.4
33,Partial,2014-10-23T21:44:26Z,183,-679.4,6922.0,6955.2,3576.9,-92.9,391568.1
34,Total,2015-03-20T09:45:41Z,188,584.0,6000.1,6028.4,3416.9,66.3,357921.9
35,Partial,2015-09-13T06:54:13Z,194,692.1,-6986.0,7020.2,3623.1,-138.9,405986.9
36,Total,2016-03-09T01:57:12Z,200,164.4,1654.5,1662.6,3435.7,47.6,360827.5
37,Annular,2016-09-01T09:06:55Z,206,210.9,-2112.8,2123.3,3557.3,-73.4,392900.9
38,Annular,2017-02-26T14:53:25Z,212,-288.5,-2905.4,2919.7,3522.5,-38.8,378209.5
39,Total,2017-08-21T18:25:33Z,218,-275.0,2773.7,2787.3,3456.6,26.8,372103.9
40,Partial,2018-02-15T20:51:21Z,224,-756.3,-7691.2,7728.2,3623.1,-138.9,398574.8
41,Partial,2018-07-13T03:01:06Z,229,818.0,-8598.7,8637.5,3380.2,102.8,357482.2
